name_with_owner,stargazers,created_at,releases_count,n_classes,cbo_mean,dit_mean,lcom_mean,loc,comment_lines
alibaba/transmittable-thread-local,8281,2013-10-13T08:48:33Z,58,155,5.587096774193548,1.4322580645161291,12.35483870967742,6932.0,
alibaba/vlayout,10759,2017-02-27T08:11:47Z,34,159,5.314465408805032,1.8553459119496856,72.54088050314465,14042.0,
alipay/SoloPi,6152,2019-03-14T15:32:49Z,8,1170,4.623076923076923,1.205982905982906,13.135897435897435,56327.0,
allure-framework/allure2,5331,2016-05-27T14:06:05Z,84,289,5.965397923875432,1.3044982698961938,13.771626297577855,10734.0,
amirzaidi/Launcher3,3905,2017-05-30T12:53:32Z,22,990,7.24949494949495,1.4777777777777779,63.68080808080808,60130.0,
amitshekhariitbhu/Android-Debug-Database,8651,2016-11-16T14:20:24Z,14,61,4.147540983606557,1.278688524590164,8.80327868852459,2393.0,
amitshekhariitbhu/Fast-Android-Networking,5892,2016-03-21T18:35:44Z,10,575,3.219130434782609,1.2504347826086957,13.768695652173912,19596.0,
amitshekhariitbhu/RxJava2-Android-Samples,4925,2016-08-27T08:21:37Z,0,185,3.6648648648648647,1.2540540540540541,6.286486486486487,3992.0,
amitshekhariitbhu/android-interview-questions,12306,2017-07-09T18:47:24Z,0,1,0.0,1.0,0.0,5.0,
amitshekhariitbhu/from-java-to-kotlin,6336,2017-05-21T11:56:27Z,0,2,0.5,1.0,0.0,37.0,
amlcurran/ShowcaseView,5561,2012-08-14T19:07:36Z,13,65,5.384615384615385,1.4,17.815384615384616,2086.0,
andOTP/andOTP,3726,2017-07-05T11:39:52Z,38,166,6.108433734939759,1.5,41.41566265060241,8443.0,
andkulikov/Transitions-Everywhere,4794,2014-10-15T03:37:03Z,23,193,6.870466321243524,1.6787564766839378,25.72020725388601,9485.0,
andremion/Music-Player,3519,2016-05-06T21:55:37Z,2,32,4.40625,1.75,5.03125,926.0,
android-async-http/android-async-http,10616,2011-02-20T03:25:07Z,3,154,5.662337662337662,1.7857142857142858,45.87662337662338,7620.0,
android-hacker/VirtualXposed,15985,2017-12-01T09:00:58Z,50,1453,3.860977288368892,2.792842395044735,14.695801789401239,47736.0,
android10/Android-CleanArchitecture,15553,2014-08-19T14:09:26Z,0,105,5.142857142857143,1.4285714285714286,6.723809523809524,2260.0,
android/testing-samples,9297,2014-10-11T03:51:27Z,0,86,5.5,1.3488372093023255,3.1511627906976742,1849.0,
android/views-widgets-samples,5177,2019-09-06T21:39:12Z,0,152,4.026315789473684,1.730263157894737,7.0131578947368425,7334.0,
androidannotations/androidannotations,11001,2012-01-06T08:48:03Z,0,962,5.990644490644491,1.7162162162162162,26.124740124740125,28796.0,
anggrayudi/android-hidden-api,3649,2015-09-16T11:58:33Z,2,4,8.0,1.0,56.5,478.0,
angryip/ipscan,4914,2011-06-28T20:58:48Z,32,364,5.063186813186813,1.6895604395604396,4.354395604395604,12374.0,
ant-media/Ant-Media-Server,4657,2017-03-01T08:21:13Z,68,1191,5.6775818639798485,1.3266162888329136,163.9647355163728,106409.0,
antlr/antlr4,18817,2010-02-04T01:36:28Z,31,662,5.806646525679758,1.811178247734139,48.30211480362538,41022.0,
antoniolg/androidmvp,5909,2014-04-02T05:42:20Z,0,14,3.2857142857142856,1.2857142857142858,3.0,274.0,
apache/beam,8543,2016-02-02T08:00:06Z,57,16541,7.485520827035851,1.5294117647058822,20.307841122060335,754792.0,
apache/calcite,5105,2014-06-25T07:00:07Z,0,5761,7.658913383093213,1.7108140947752126,404.02603714632875,378237.0,
apache/camel,6175,2009-05-21T00:25:36Z,0,44628,4.859258761315766,1.6292910280541364,80.352065967554,2056379.0,
apache/cassandra,9687,2009-05-21T02:10:09Z,0,13116,6.8635254650808175,1.7574717901799328,60.63342482464166,781212.0,
apache/dolphinscheduler,14211,2019-03-01T16:39:25Z,56,2723,6.578773411678296,1.3756885787734117,11.595299302240177,96627.0,
apache/doris,15189,2017-08-10T12:13:30Z,84,9397,8.536234968607003,1.654144939874428,124.99223156326487,698096.0,
apache/druid,13975,2012-10-23T19:08:07Z,71,15000,7.912933333333333,1.3786,62.52206666666667,784003.0,
apache/dubbo,41686,2012-06-19T07:56:02Z,113,4966,5.44442207007652,1.292589609343536,45.780708819975835,256286.0,
apache/dubbo-spring-boot-project,5393,2018-01-18T12:10:50Z,13,89,7.089887640449438,1.1685393258426966,11.92134831460674,1895.0,
apache/fesod,5922,2024-10-05T11:42:50Z,7,615,6.004878048780488,1.3691056910569106,30.291056910569107,22285.0,
apache/flink,25932,2014-06-07T07:00:10Z,0,25310,7.200869221651521,1.645713156854998,35.50663769261162,1185847.0,
