owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
jhao104,proxy_pool,jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,23359,64,107,master,3. 10k–25k,3. 51–200,1. 100–499
timqian,chinese-independent-blogs,timqian/chinese-independent-blogs,https://github.com/timqian/chinese-independent-blogs,23255,1455,2555,master,3. 10k–25k,5. > 1000,3. 1k–5k
langchain-ai,deepagents,langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,23239,118,1958,main,3. 10k–25k,3. 51–200,3. 1k–5k
Fincept-Corporation,FinceptTerminal,Fincept-Corporation/FinceptTerminal,https://github.com/Fincept-Corporation/FinceptTerminal,23109,36,952,main,3. 10k–25k,2. 11–50,2. 500–999
modelcontextprotocol,python-sdk,modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,23103,185,856,main,3. 10k–25k,3. 51–200,2. 500–999
SYSTRAN,faster-whisper,SYSTRAN/faster-whisper,https://github.com/SYSTRAN/faster-whisper,23100,47,263,master,3. 10k–25k,2. 11–50,1. 100–499
Vonng,ddia,Vonng/ddia,https://github.com/Vonng/ddia,23059,127,716,main,3. 10k–25k,3. 51–200,2. 500–999
danielgatis,rembg,danielgatis/rembg,https://github.com/danielgatis/rembg,23057,82,455,main,3. 10k–25k,3. 51–200,1. 100–499
saleor,saleor,saleor/saleor,https://github.com/saleor/saleor,22921,323,3928,main,3. 10k–25k,4. 201–1000,3. 1k–5k
letta-ai,letta,letta-ai/letta,https://github.com/letta-ai/letta,22916,153,7464,main,3. 10k–25k,3. 51–200,4. 5k–20k
SuperClaude-Org,SuperClaude_Framework,SuperClaude-Org/SuperClaude_Framework,https://github.com/SuperClaude-Org/SuperClaude_Framework,22915,43,345,master,3. 10k–25k,2. 11–50,1. 100–499
emmabostian,developer-portfolios,emmabostian/developer-portfolios,https://github.com/emmabostian/developer-portfolios,22861,2205,5117,master,3. 10k–25k,5. > 1000,4. 5k–20k
matplotlib,matplotlib,matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,22829,1919,15345,main,3. 10k–25k,5. > 1000,4. 5k–20k
serengil,deepface,serengil/deepface,https://github.com/serengil/deepface,22815,97,1603,master,3. 10k–25k,3. 51–200,3. 1k–5k
mlc-ai,mlc-llm,mlc-ai/mlc-llm,https://github.com/mlc-ai/mlc-llm,22702,164,1799,main,3. 10k–25k,3. 51–200,3. 1k–5k
magic-wormhole,magic-wormhole,magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,22629,90,851,master,3. 10k–25k,3. 51–200,2. 500–999
PrefectHQ,prefect,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,22451,441,21521,main,3. 10k–25k,4. 201–1000,5. > 20k
PromtEngineer,localGPT,PromtEngineer/localGPT,https://github.com/PromtEngineer/localGPT,22213,51,340,main,3. 10k–25k,3. 51–200,1. 100–499
tornadoweb,tornado,tornadoweb/tornado,https://github.com/tornadoweb/tornado,22183,474,693,master,3. 10k–25k,4. 201–1000,2. 500–999
microsoft,unilm,microsoft/unilm,https://github.com/microsoft/unilm,22131,77,1008,master,3. 10k–25k,3. 51–200,3. 1k–5k
cheahjs,free-llm-api-resources,cheahjs/free-llm-api-resources,https://github.com/cheahjs/free-llm-api-resources,22116,5,413,main,3. 10k–25k,1. 5–10,1. 100–499
mkdocs,mkdocs,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,22103,262,588,master,3. 10k–25k,4. 201–1000,2. 500–999
graphdeco-inria,gaussian-splatting,graphdeco-inria/gaussian-splatting,https://github.com/graphdeco-inria/gaussian-splatting,22077,14,250,main,3. 10k–25k,2. 11–50,1. 100–499
m-bain,whisperX,m-bain/whisperX,https://github.com/m-bain/whisperX,22055,115,545,main,3. 10k–25k,3. 51–200,2. 500–999
OthmanAdi,planning-with-files,OthmanAdi/planning-with-files,https://github.com/OthmanAdi/planning-with-files,21935,35,236,master,3. 10k–25k,2. 11–50,1. 100–499
ahujasid,blender-mcp,ahujasid/blender-mcp,https://github.com/ahujasid/blender-mcp,21930,20,139,main,3. 10k–25k,2. 11–50,1. 100–499
recommenders-team,recommenders,recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,21717,147,2930,main,3. 10k–25k,3. 51–200,3. 1k–5k
Skyvern-AI,skyvern,Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,21707,87,4915,main,3. 10k–25k,3. 51–200,3. 1k–5k
XiaoMi,ha_xiaomi_home,XiaoMi/ha_xiaomi_home,https://github.com/XiaoMi/ha_xiaomi_home,21696,37,267,main,3. 10k–25k,2. 11–50,1. 100–499
goauthentik,authentik,goauthentik/authentik,https://github.com/goauthentik/authentik,21610,546,17168,main,3. 10k–25k,4. 201–1000,4. 5k–20k
huggingface,datasets,huggingface/datasets,https://github.com/huggingface/datasets,21534,665,2648,main,3. 10k–25k,4. 201–1000,3. 1k–5k
verl-project,verl,verl-project/verl,https://github.com/verl-project/verl,21506,618,2537,main,3. 10k–25k,4. 201–1000,3. 1k–5k
airbytehq,airbyte,airbytehq/airbyte,https://github.com/airbytehq/airbyte,21315,1202,44674,master,3. 10k–25k,5. > 1000,5. > 20k
p-e-w,heretic,p-e-w/heretic,https://github.com/p-e-w/heretic,21272,24,158,master,3. 10k–25k,2. 11–50,1. 100–499
FunAudioLLM,CosyVoice,FunAudioLLM/CosyVoice,https://github.com/FunAudioLLM/CosyVoice,21206,52,551,main,3. 10k–25k,3. 51–200,2. 500–999
huggingface,peft,huggingface/peft,https://github.com/huggingface/peft,21184,300,1700,main,3. 10k–25k,4. 201–1000,3. 1k–5k
QwenLM,Qwen,QwenLM/Qwen,https://github.com/QwenLM/Qwen,21177,34,517,main,3. 10k–25k,2. 11–50,2. 500–999
RasaHQ,rasa,RasaHQ/rasa,https://github.com/RasaHQ/rasa,21176,599,5489,3.6.x,3. 10k–25k,4. 201–1000,4. 5k–20k
marimo-team,marimo,marimo-team/marimo,https://github.com/marimo-team/marimo,21129,292,6118,main,3. 10k–25k,4. 201–1000,4. 5k–20k
Zeyi-Lin,HivisionIDPhotos,Zeyi-Lin/HivisionIDPhotos,https://github.com/Zeyi-Lin/HivisionIDPhotos,21114,24,445,master,3. 10k–25k,2. 11–50,1. 100–499
LiLittleCat,awesome-free-chatgpt,LiLittleCat/awesome-free-chatgpt,https://github.com/LiLittleCat/awesome-free-chatgpt,21080,21,375,main,3. 10k–25k,2. 11–50,1. 100–499
1Panel-dev,MaxKB,1Panel-dev/MaxKB,https://github.com/1Panel-dev/MaxKB,21035,83,7044,v2,3. 10k–25k,3. 51–200,4. 5k–20k
onnx,onnx,onnx/onnx,https://github.com/onnx/onnx,20872,392,2022,main,3. 10k–25k,4. 201–1000,3. 1k–5k
index-tts,index-tts,index-tts/index-tts,https://github.com/index-tts/index-tts,20704,22,232,main,3. 10k–25k,2. 11–50,1. 100–499
netbox-community,netbox,netbox-community/netbox,https://github.com/netbox-community/netbox,20588,461,7841,main,3. 10k–25k,4. 201–1000,4. 5k–20k
HKUDS,RAG-Anything,HKUDS/RAG-Anything,https://github.com/HKUDS/RAG-Anything,20557,46,404,main,3. 10k–25k,2. 11–50,1. 100–499
python,mypy,python/mypy,https://github.com/python/mypy,20443,855,4111,master,3. 10k–25k,4. 201–1000,3. 1k–5k
