repo_full,n_commits,n_bic,taxa_bic_pct,pct_pequeno,pct_medio,pct_grande
openai/evals,854,75,8.78,76.58,14.87,8.55
openai/gpt-oss,163,6,3.68,59.51,26.38,14.11
openai/gym,568,88,15.49,55.99,28.17,15.85
openai/openai-agents-python,1501,93,6.2,41.44,40.17,18.39
openai/openai-python,2102,118,5.61,63.23,21.41,15.37
openai/whisper,191,14,7.33,80.1,17.28,2.62
opendatalab/MinerU,2458,71,2.89,59.28,32.55,8.18
openinterpreter/open-interpreter,2595,150,5.78,68.67,25.78,5.55
oraios/serena,2761,159,5.76,53.13,38.97,7.9
p-e-w/heretic,189,66,34.92,51.32,44.44,4.23
pallets/click,888,51,5.74,62.39,33.0,4.62
pallets/flask,124,1,0.81,46.77,28.23,25.0
pandas-dev/pandas,14407,164,1.14,43.98,46.72,9.3
paperless-ngx/paperless-ngx,7693,53,0.69,54.15,38.24,7.6
pathwaycom/pathway,656,5,0.76,19.82,67.38,12.8
piskvorky/gensim,460,29,6.3,68.7,26.52,4.78
plotly/dash,3665,87,2.37,63.47,29.55,6.98
plotly/plotly.py,3015,54,1.79,71.04,23.75,5.21
pre-commit/pre-commit,509,38,7.47,70.53,23.77,5.7
psf/black,1385,81,5.85,59.49,34.08,6.43
psf/requests,354,17,4.8,81.36,16.1,2.54
pydantic/pydantic,7200,103,1.43,42.58,38.72,18.69
pydantic/pydantic-ai,3825,246,6.43,36.65,41.44,21.91
pyecharts/pyecharts,180,36,20.0,58.33,26.67,15.0
pyg-team/pytorch_geometric,7443,152,2.04,66.09,28.24,5.67
pyodide/pyodide,3719,54,1.45,46.41,39.9,13.69
pypa/pipenv,2856,151,5.29,60.19,30.74,9.07
pyscript/pyscript,1439,54,3.75,46.35,38.92,14.73
python-poetry/poetry,2427,131,5.4,50.97,40.05,8.98
python-telegram-bot/python-telegram-bot,1086,147,13.54,44.11,34.53,21.36
python/cpython,4391,16,0.36,49.17,39.69,11.14
python/mypy,5087,105,2.06,41.36,45.84,12.8
pytorch/examples,356,22,6.18,62.08,30.34,7.58
pytorch/vision,8542,197,2.31,39.59,33.06,27.35
raga-ai-hub/RagaAI-Catalyst,790,80,10.13,47.34,44.05,8.61
ranaroussi/yfinance,1097,185,16.86,64.54,29.54,5.93
ranger/ranger,603,31,5.14,84.91,14.43,0.66
ray-project/ray,35970,92,0.26,43.11,37.61,19.28
recommenders-team/recommenders,2813,66,2.35,68.5,27.66,3.84
reflex-dev/reflex,3934,372,9.46,47.43,39.2,13.37
rendercv/rendercv,1840,153,8.32,55.22,35.27,9.51
roboflow/supervision,4421,191,4.32,50.96,41.21,7.83
run-llama/llama_index,9588,88,0.92,46.34,37.79,15.87
safishamsi/graphify,679,99,14.58,45.36,39.76,14.87
saleor/saleor,5257,255,4.85,35.31,41.6,23.09
saltstack/salt,19103,104,0.54,55.16,38.85,5.99
sanic-org/sanic,1726,127,7.36,48.73,44.73,6.55
scikit-learn/scikit-learn,1183,63,5.33,54.86,34.07,11.07
scrapy/scrapy,316,79,25.0,38.92,35.76,25.32
serengil/deepface,1349,126,9.34,76.13,20.09,3.78
sgl-project/sglang,21748,0,0.0,43.01,43.81,13.18
sherlock-project/sherlock,314,2,0.64,84.39,14.33,1.27
sinaptik-ai/pandas-ai,2003,190,9.49,49.08,32.75,18.17
smicallef/spiderfoot,627,93,14.83,48.33,46.73,4.94
soimort/you-get,225,47,20.89,85.78,14.22,0.0
soxoj/maigret,1258,74,5.88,63.12,30.52,6.36
spotDL/spotify-downloader,1739,141,8.11,64.17,26.62,9.2
spotify/luigi,277,23,8.3,66.43,29.96,3.61
sqlmapproject/sqlmap,924,119,12.88,79.65,18.07,2.27
squidfunk/mkdocs-material,3427,16,0.47,58.33,31.31,10.36
