repositorio,api,repeticao,tempo_ms,tamanho_bytes
yt-dlp/yt-dlp,GraphQL,2,353.554,764
yt-dlp/yt-dlp,REST,2,370.24,6203
yt-dlp/yt-dlp,REST,3,359.941,6203
yt-dlp/yt-dlp,GraphQL,3,410.551,764
yt-dlp/yt-dlp,GraphQL,4,411.127,764
yt-dlp/yt-dlp,REST,4,328.236,6203
yt-dlp/yt-dlp,REST,5,581.569,6203
yt-dlp/yt-dlp,GraphQL,5,408.451,764
f/prompts.chat,REST,1,371.941,5369
f/prompts.chat,GraphQL,1,499.102,1217
f/prompts.chat,GraphQL,2,429.594,1217
f/prompts.chat,REST,2,272.957,5369
f/prompts.chat,REST,3,280.558,5369
f/prompts.chat,GraphQL,3,502.247,1217
f/prompts.chat,GraphQL,4,507.511,1217
f/prompts.chat,REST,4,260.147,5369
f/prompts.chat,REST,5,308.827,5369
f/prompts.chat,GraphQL,5,506.753,1217
AUTOMATIC1111/stable-diffusion-webui,REST,1,344.457,6347
AUTOMATIC1111/stable-diffusion-webui,GraphQL,1,575.17,999
AUTOMATIC1111/stable-diffusion-webui,GraphQL,2,699.393,999
AUTOMATIC1111/stable-diffusion-webui,REST,2,317.899,6347
AUTOMATIC1111/stable-diffusion-webui,REST,3,265.435,6347
AUTOMATIC1111/stable-diffusion-webui,GraphQL,3,449.117,999
AUTOMATIC1111/stable-diffusion-webui,GraphQL,4,462.408,999
AUTOMATIC1111/stable-diffusion-webui,REST,4,256.547,6347
AUTOMATIC1111/stable-diffusion-webui,REST,5,356.676,6347
AUTOMATIC1111/stable-diffusion-webui,GraphQL,5,510.3,999
521xueweihan/HelloGitHub,REST,1,364.781,5646
521xueweihan/HelloGitHub,GraphQL,1,380.522,724
521xueweihan/HelloGitHub,GraphQL,2,537.379,724
521xueweihan/HelloGitHub,REST,2,662.362,5646
521xueweihan/HelloGitHub,REST,3,387.791,5646
521xueweihan/HelloGitHub,GraphQL,3,435.326,724
521xueweihan/HelloGitHub,GraphQL,4,456.034,724
521xueweihan/HelloGitHub,REST,4,359.751,5646
521xueweihan/HelloGitHub,REST,5,301.544,5646
521xueweihan/HelloGitHub,GraphQL,5,341.082,724
huggingface/transformers,REST,1,375.019,7103
huggingface/transformers,GraphQL,1,429.165,1297
huggingface/transformers,GraphQL,2,567.409,1297
huggingface/transformers,REST,2,403.147,7103
huggingface/transformers,REST,3,345.412,7103
huggingface/transformers,GraphQL,3,542.142,1297
huggingface/transformers,GraphQL,4,513.138,1297
huggingface/transformers,REST,4,398.154,7103
huggingface/transformers,REST,5,466.351,7103
huggingface/transformers,GraphQL,5,569.838,1297
jlevy/the-art-of-command-line,REST,1,295.484,5688
jlevy/the-art-of-command-line,GraphQL,1,489.335,656
jlevy/the-art-of-command-line,GraphQL,2,467.225,656
jlevy/the-art-of-command-line,REST,2,303.949,5688
jlevy/the-art-of-command-line,REST,3,413.314,5688
jlevy/the-art-of-command-line,GraphQL,3,384.632,656
jlevy/the-art-of-command-line,GraphQL,4,432.477,656
jlevy/the-art-of-command-line,REST,4,358.832,5688
jlevy/the-art-of-command-line,REST,5,272.787,5688
jlevy/the-art-of-command-line,GraphQL,5,449.201,656
microsoft/markitdown,REST,1,392.386,6578
microsoft/markitdown,GraphQL,1,434.115,749
microsoft/markitdown,GraphQL,2,552.383,749
microsoft/markitdown,REST,2,469.643,6578
microsoft/markitdown,REST,3,422.724,6578
microsoft/markitdown,GraphQL,3,490.734,749
microsoft/markitdown,GraphQL,4,564.604,749
microsoft/markitdown,REST,4,404.301,6578
microsoft/markitdown,REST,5,379.651,6578
microsoft/markitdown,GraphQL,5,492.083,749
Snailclimb/JavaGuide,REST,1,313.213,5695
Snailclimb/JavaGuide,GraphQL,1,572.318,1009
Snailclimb/JavaGuide,GraphQL,2,544.15,1009
Snailclimb/JavaGuide,REST,2,360.129,5695
Snailclimb/JavaGuide,REST,3,284.991,5695
Snailclimb/JavaGuide,GraphQL,3,487.792,1009
Snailclimb/JavaGuide,GraphQL,4,511.774,1009
Snailclimb/JavaGuide,REST,4,268.284,5695
Snailclimb/JavaGuide,REST,5,283.708,5695
Snailclimb/JavaGuide,GraphQL,5,538.175,1009
anthropics/skills,REST,1,413.611,6408
anthropics/skills,GraphQL,1,498.453,517
anthropics/skills,GraphQL,2,554.651,517
anthropics/skills,REST,2,355.086,6408
anthropics/skills,REST,3,459.584,6408
anthropics/skills,GraphQL,3,461.657,517
anthropics/skills,GraphQL,4,391.839,517
anthropics/skills,REST,4,382.81,6408
anthropics/skills,REST,5,403.04,6408
anthropics/skills,GraphQL,5,358.666,517
langflow-ai/langflow,REST,1,389.654,6609
langflow-ai/langflow,GraphQL,1,418.852,774
langflow-ai/langflow,GraphQL,2,362.295,774
langflow-ai/langflow,REST,2,343.803,6609
langflow-ai/langflow,REST,3,419.06,6609
langflow-ai/langflow,GraphQL,3,668.459,774
langflow-ai/langflow,GraphQL,4,456.2,774
langflow-ai/langflow,REST,4,324.122,6609
langflow-ai/langflow,REST,5,358.988,6609
langflow-ai/langflow,GraphQL,5,490.662,774
airbnb/javascript,REST,1,455.256,6368
airbnb/javascript,GraphQL,1,513.742,919
airbnb/javascript,GraphQL,2,517.677,919
airbnb/javascript,REST,2,475.2,6368
airbnb/javascript,REST,3,342.859,6368
airbnb/javascript,GraphQL,3,477.633,919
airbnb/javascript,GraphQL,4,461.726,919
airbnb/javascript,REST,4,439.922,6368
airbnb/javascript,REST,5,355.38,6368
airbnb/javascript,GraphQL,5,566.545,919
langgenius/dify,REST,1,450.421,6391
langgenius/dify,GraphQL,1,490.461,1128
langgenius/dify,GraphQL,2,518.929,1128
langgenius/dify,REST,2,483.33,6391
langgenius/dify,REST,3,346.399,6391
langgenius/dify,GraphQL,3,656.639,1128
langgenius/dify,GraphQL,4,564.944,1128
langgenius/dify,REST,4,353.819,6391
langgenius/dify,REST,5,363.429,6391
langgenius/dify,GraphQL,5,465.976,1128
Genymobile/scrcpy,REST,1,355.986,6416
Genymobile/scrcpy,GraphQL,1,461.903,728
Genymobile/scrcpy,GraphQL,2,467.422,728
Genymobile/scrcpy,REST,2,456.509,6416
Genymobile/scrcpy,REST,3,474.207,6416
Genymobile/scrcpy,GraphQL,3,388.278,728
Genymobile/scrcpy,GraphQL,4,390.245,728
Genymobile/scrcpy,REST,4,385.784,6416
Genymobile/scrcpy,REST,5,323.117,6416
Genymobile/scrcpy,GraphQL,5,494.668,728
mattpocock/skills,REST,1,362.627,5300
mattpocock/skills,GraphQL,1,456.435,520
mattpocock/skills,GraphQL,2,329.018,520
mattpocock/skills,REST,2,287.559,5300
mattpocock/skills,REST,3,285.788,5300
mattpocock/skills,GraphQL,3,430.279,520
mattpocock/skills,GraphQL,4,358.078,520
